Ext.ID,raw_count,unmapped_count,mapped_count,host_count,human_count,unmapped_avlength,mapped_avlength,p_Sediment.Soil,p_Skin,p_aOral,p_mOral,p_Unknown,classified,unclassified,Bacteria,Archaea,Eukaryota,Viruses,species_raw
HM_082,241,63,0,0,0,50.94,NA,NA,NA,NA,NA,NA,11.1,88.9,11.1,0,0,0,4
MV_239,35,16,0,0,0,46.31,NA,NA,NA,NA,NA,NA,12.5,87.5,12.5,0,0,0,2
HM_049,1067,635,1,1,0,55.75,30,NA,NA,NA,NA,NA,7.2,92.8,7.2,0,0,0,25
MS_058,180,128,18,18,0,73,63.89,NA,NA,NA,NA,NA,10.2,89.8,9.4,0,0.78,0,5
MS_051,1650,1443,27,24,3,52.86,69.19,0,0,0,0,100,17.3,82.7,17.2,0,0.07,0,40
MS_104,2966,2651,31,30,1,62.15,57.32,NA,NA,NA,NA,NA,11.7,88.3,11.4,0,0.19,0,84
MV_038,42482,36845,44,33,11,47.01,48.09,0,0,46.4,0,53.6,8.2,91.8,8.1,0,0.01,0,460
RB_005,5753,4546,37,36,1,42.06,38.7,NA,NA,NA,NA,NA,4.7,95.3,4.6,0.1,0.02,0,75
HM_017,9082,4545,42,40,2,36.98,35.45,NA,NA,NA,NA,NA,9.6,90.4,9.6,0,0,0,33
MS_053,3658,2471,52,52,0,43.85,51.88,NA,NA,NA,NA,NA,16.8,83.2,16.7,0,0,0,41
MV_049,818,499,65,65,0,53.68,50.98,NA,NA,NA,NA,NA,19.4,80.6,19.4,0,0,0,27
MV_289,575,378,65,65,0,51.92,59.05,NA,NA,NA,NA,NA,15.3,84.7,15.1,0,0.26,0,16
MV_046,2998,2379,72,72,0,48.48,50.89,NA,NA,NA,NA,NA,12.1,87.9,12.1,0,0,0,51
HM_018,101048,73211,126,122,4,42.92,40.84,26.7,4.6,3.7,3.7,61.3,17,83,17,0,0,0,467
HM_027,17833,3781,215,209,6,37.85,39.11,0,0,0,0,100,15.4,84.6,15.4,0,0,0,45
RM_117,475743,411330,293,214,79,44.93,40.43,1,7.9,37.5,37.6,16.1,4.4,95.6,4.4,0,0.01,0,2377
RM_124,1234707,1068449,328,221,107,45.45,41.01,8,7.7,27.3,30.8,26.3,5,95,5,0,0,0,4064
MV_169,951900,602731,503,342,161,39.46,38.61,1,6.1,35.2,45,12.7,6.7,93.4,6.6,0,0,0,2086
MV_225,559255,490657,602,430,172,47.76,44.81,15.8,1.3,23,16,44,9.7,90.3,9.7,0,0.01,0,3160
MV_109,846618,749968,475,442,33,45.72,47.92,3.8,4.9,32.5,30.8,27.9,10.1,89.9,10.1,0,0,0,2832
MV_240,7323,5502,486,469,17,43.7,44.28,NA,NA,NA,NA,NA,19.9,80.1,19.7,0,0.07,0,99
MS_060,1403553,1098584,2615,524,2091,46.62,48.77,0,1,1.2,4.1,93.7,2.9,97.1,2.8,0,0.05,0,2227
MV_243,6584,4826,708,666,42,43.5,43.62,NA,NA,NA,NA,NA,35.4,64.6,35.1,0,0.02,0,69
MV_131,269196,202219,683,670,13,41.47,41.57,2,5.7,41.4,35,15.8,9.8,90.3,9.7,0,0,0,974
MS_122,5655107,4282604,1062,705,357,47.75,40.68,13.6,3.9,26.7,26.4,29.3,17.9,82.1,17.9,0,0,0,5667
MV_120,425905,385298,843,819,24,44.66,43.63,1.3,8.8,31.9,36.8,21.3,9.2,90.8,9.2,0,0,0,1704
MV_102,624213,371063,897,836,61,42.26,40.67,1.8,7.2,27.5,30,33.4,6.6,93.4,6.5,0.1,0,0,1938
MV_288,26578,17985,942,874,68,42.79,45.41,0,0,0,0,100,15.6,84.5,15.5,0,0.04,0,223
HM_077,8338046,7457598,1038,908,130,55.03,42.21,3.8,1.3,23,11.8,60.1,3,97,3,0,0.01,0,7243
HM_008,10919,7465,943,926,17,47.14,45.77,48.9,0,0,0,51.1,35.1,64.9,34.8,0,0.16,0,291
RM_173,5194620,4739600,1776,929,847,55.64,52.43,0.6,0.3,79.3,15,4.8,7.8,92.2,7.7,0.1,0.01,0,7300
RM_053,8482,6670,996,948,48,54.89,49.46,NA,NA,NA,NA,NA,14.6,85.4,14.3,0.2,0.04,0,196
MV_002,317747,240844,1064,1024,40,42.13,42.54,26.4,6,12.3,9,46.3,16.5,83.5,16.5,0,0,0,1348
MS_038,1130770,961406,5079,1096,3983,51.53,57.67,3.2,2.1,1.1,5.2,88.4,4.8,95.2,4.6,0,0.17,0,2344
MV_041,231933,192803,1143,1127,16,43.2,44.13,0.5,10.2,33.2,45.1,11,8.8,91.2,8.7,0,0,0,1199
MS_103,64359,53388,1147,1136,11,48.62,49.3,63.9,20.4,0.3,0,15.4,15.3,84.7,15.3,0,0.02,0,756
HM_058,810461,508794,2398,1177,1221,41.24,48.51,13.8,4.3,1.3,6.3,74.2,9,91,8.9,0,0.06,0,1599
MV_005,26271,18892,1219,1212,7,57.46,61.45,0,0,0,0,100,12.1,87.9,11.9,0.1,0.04,0,373
DM_026,5440794,5083149,1517,1227,290,71.46,52.45,6.4,7.6,2.5,55.1,28.4,60.8,39.2,60.6,0.1,0,0,6975
MV_087,593059,343748,1353,1250,103,38.33,36.67,12,1.1,9.6,17.1,60.1,3.6,96.4,3.6,0,0,0,1296
RM_152,272250,186476,1462,1337,125,37.97,38.73,0,37.2,5.2,0,57.6,3.6,96.4,3.5,0.1,0.01,0,576
MV_236,24845,17308,1456,1350,106,41.85,42.62,0,6.2,16.4,77.4,0,9.5,90.5,9.4,0,0.09,0,210
HM_033,3694699,2616951,73556,1371,72185,56.11,71.6,5,2.9,23,14.4,54.7,7.9,92.1,3.6,3.7,0.62,0,5674
HM_037,3589738,3187312,1571,1447,124,48.96,44.74,5,4.6,25.1,20.6,44.8,5.3,94.7,4.8,0.5,0,0,7023
RM_114,4367832,4098633,1772,1477,295,55.27,47.9,5.5,5,22,22.4,45.2,17,83,17,0,0,0,7396
RM_169,671265,587991,1820,1590,230,42.2,42.18,1,8.6,33,38.9,18.6,5.3,94.7,4.3,1,0,0,2515
RM_120,406084,204300,1776,1705,71,44.25,42.68,0,0,0,0,100,7.2,92.8,7.1,0,0.01,0,1701
MV_029,16508,11419,1787,1771,16,41.4,45.56,NA,NA,NA,NA,NA,7.9,92.2,7.8,0,0.04,0,154
MV_175,9728749,8008526,2927,1931,996,48.98,43.41,1,1,64.5,27.5,6,9.8,90.2,9.8,0,0,0,7499
