Species,Common.name,habitat.general,order
Arctocephalus australis,South American fur seals,Aquatic,Carnivora
Camelus dromedarius,Dromedary camel,Terrestrial,Artiodactyla
Capreolus capreolus,Roe deer,Terrestrial,Artiodactyla
Cephalophus silvicultor,Yellow-backed duiker,Terrestrial,Artiodactyla
Ceratotherium simum,White rhino,Terrestrial,Perissodactyla
Cuniculus paca,Paca,Terrestrial,Rodentia
Diceros bicornis,Black rhino,Terrestrial,Perissodactyla
Dugong dugon,Dugong,Aquatic,Sirenia
Equus burchellii,Plains zebra,Terrestrial,Perissodactyla
Equus caballus,Horse,Terrestrial,Perissodactyla
Giraffa camelopardalis,Reticulated giraffe,Terrestrial,Artiodactyla
Gorilla beringei,Eastern gorilla,Terrestrial,Primates
Hippopotamus amphibius,Hippo,Terrestrial,Artiodactyla
Loxodonta africana,African elephant,Terrestrial,Proboscidea
Macropus giganteus,Eastern grey kangaroo,Terrestrial,Diprotodontia
Marmota marmota,Marmot,Terrestrial,Rodentia
Meles meles,European badger,Terrestrial,Carnivora
Muntiacus muntjak,Muntjak,Terrestrial,Artiodactyla
Okapia johnstoni,Okapi,Terrestrial,Artiodactyla
Orcinus orca,Orca,Aquatic,Artiodactyla
Otaria byronia,South American sea lion,Aquatic,Carnivora
Ovibos moschatus,Muskox,Terrestrial,Artiodactyla
Ovis ammon,Argali,Terrestrial,Artiodactyla
Ovis aries,Sheep,Terrestrial,Artiodactyla
Papio anubis,Olive baboon,Terrestrial,Primates
Piliocolobus foai,Central African red colobus,Terrestrial,Primates
Pongo pygmaeus,Bornean orangutan,Terrestrial,Primates
Rupicapra rupicapra,Chamois,Terrestrial,Artiodactyla
Sus scrofa,Wild boar,Terrestrial,Artiodactyla
Sus scrofa domesticus,Pig,Terrestrial,Artiodactyla
Syncerus caffer,African buffalo,Terrestrial,Artiodactyla
Tapirus indicus,Malayan tapir,Terrestrial,Perissodactyla
