Ext.ID	Museum	Sampling.date	Catalogue.accession	Species	Collection.notes	Sex	Age	Year	Country	Region	Locality	Oral.health	Appearance	Sampling.comments	Ext.Date	Sample.weight.g.	Pigmented_extract	Qubit.concentration.ng.ul.	LP.date	Extract.vol.used	LP.copies	Ind.date	LP.vol.used	Ind.cycles	Ind.copies	Pool	Pooled.volume.ul.	Instrument.model	Common.name	habitat.general	order	Species_Lintulaakso_et_al	diet_cluster_name	diet_quality	cp	ee	cf	ash	nfe	calculated_species_main_diet	raw_count	unmapped_count	mapped_count	host_count	human_count	unmapped_avlength	mapped_avlength	p_Sediment.Soil	p_Skin	p_aOral	p_mOral	p_Unknown	classified	unclassified	Bacteria	Archaea	Eukaryota	Viruses	species_raw	is.blank	failed.repeated	combined.sample	Sample.weight.ug	DNA_input_ng	libraries_input_copies	theor_ind_copies
DM_002	Adametz collection	20230217	A 284	Sus scrofa domesticus	Sus s. f. domestica; Schweinekreunzungen 	male		<1940					orange and brown		20230627	0.017	FALSE	20.8	20230629	20	1.81e+08	20230906	12	11	4.57e+10	Pool A	3	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	8020905	7494734	193303	191785	1518	63.11	55.83	4.1	2.4	34.6	17.3	41.7	10.5	89.5	8.6	1.8	0.03	0	NA	FALSE	FALSE	FALSE	17	416	2.172e+09	4.448256e+12
DM_003	Adametz collection	20230217	E 1042 (large tusks)	Sus scrofa	Sardinischen Wildschwein aus Schönbrunn 32 	male?		<1940					huge white plaques	large chunks fell off eaisly. Too much?	20230627	0.02	FALSE	13.2	20230629	20	4.53e+08	20230720	12	10	1.1e+11	Pool A	2	Illumina NovaSeq X Plus	Wild boar	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	3731581	3520938	49048	48838	210	61.89	56.4	1.1	0.5	28.7	7.7	62	10.2	89.8	3.6	6.6	0.01	0	6427	FALSE	FALSE	FALSE	20	264	5.436e+09	5.566464e+12
DM_004	Adametz collection	20230217	E 1042 (no tusks)	Sus scrofa	Sardinischen Wildschwein aus Schönbrunn 32 	female?		<1940							20230627	0.03	FALSE	29.4	20230629	20	4.47e+08	20230720	12	10	7.9e+10	Pool A	3	Illumina NovaSeq X Plus	Wild boar	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	4449271	4234114	19187	19030	157	60.63	53.06	6.9	2.5	26.9	15.6	48.1	8.8	91.3	6.6	2.1	0.01	0	7989	FALSE	FALSE	FALSE	30	588	5.364e+09	5.492736e+12
DM_005	Adametz collection	20230217	E 757	Sus scrofa domesticus	Englisches Zuchtschwein 			<1940							20230627	0.022	FALSE	30.4	20230629	20	4.82e+08	20230906	12	11	3.64e+10	Pool B	2	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	22	608	5.784e+09	1.1845632e+13
DM_006	Adametz collection 	20230217	209 (large tusks)	Sus scrofa	Europe wildschwein  	male		<1940					large white plaques	large chunks fell off easily	20230627	0.017	FALSE	16.8	20230629	20	1.45e+08	20230720	12	10	3.52e+10	Pool B	2	Illumina NovaSeq X Plus	Wild boar	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	2831046	2600708	9092	8935	157	55.11	51.97	0.9	3.8	15.5	23.8	56.1	13.7	86.3	13.5	0.2	0.01	0	6365	FALSE	FALSE	FALSE	17	336	1.74e+09	1.78176e+12
DM_007	Adametz collection	20230217	E 209 (no tusks)	Sus scrofa	 	female?		<1940						maybe not enough	20230627	0.013	FALSE	1.37	20230629	20	75900000	20230906	12	11	1.8e+10	Pool B	3	Illumina NovaSeq X Plus	Wild boar	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	4981526	4475434	39527	38362	1165	58.78	52.95	1.3	2.6	12.7	15	68.5	10.3	89.7	10	0.3	0.03	0	7545	FALSE	FALSE	FALSE	13	27.4	910800000	1865318400000
DM_008	Adametz collection	20230217	E 754	Sus scrofa domesticus	Galizien, Landschw. 			<1940	Poland or Ukraine?	Galicia			white		20230627	0.02	FALSE	8.22	20230629	20	72700000	20230906	12	11	1.48e+10	Pool B	3	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	3482778	3271784	12267	12147	120	58.31	56.39	2.3	2.7	20.8	17.4	56.8	11	89	8.4	2.5	0.01	0	7207	FALSE	FALSE	FALSE	20	164.4	872400000	1786675200000
DM_009	Adametz collection	20230217	1064	Ovis aries	Soay Sheep; Hebriden 			<1940					large plaques		20230627	0.025	FALSE	15.4	20230629	20	76100000	20230720	12	10	4.87e+10	Pool A	3	Illumina NovaSeq X Plus	Sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	1545191	1434073	38236	37894	342	55.81	62.25	8.3	4.3	31	22.4	33.9	15.3	84.7	15	0.3	0.02	0	5237	FALSE	FALSE	FALSE	25	308	913200000	935116800000
DM_010	Adametz collection	20230217	E 209 (male)	Sus scrofa	Wildschwein E 209  	male		<1940					large plaques		20230627	0.014	FALSE	7.25	20230629	20	2.94e+08	20230720	12	10	2.91e+10	Pool B	3	Illumina NovaSeq X Plus	Wild boar	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	12547786	11548636	45129	44360	769	62.92	55.1	3.9	1.9	18.8	17.2	58.1	15.4	84.6	14.8	0.6	0.01	0	8921	FALSE	FALSE	FALSE	14	145	3.528e+09	3.612672e+12
DM_011	Adametz collection	20230217	E 610	Sus scrofa	Bosn. Wildsch. Eber 1911 			1911							20230627	0.021	FALSE	12	20230629	20	55200000	20230720	12	10	4.21e+09	Pool C	4	Illumina NovaSeq X Plus	Wild boar	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	2261208	2071687	27321	27071	250	49.54	47.14	0.4	5.1	17.5	25.9	51	15.8	84.3	15.4	0.3	0.01	0	4956	FALSE	FALSE	FALSE	21	240	662400000	678297600000
