Species	Common.name	order	Species_Lintulaakso_et_al	diet_cluster_name	diet_quality	cp	ee	cf	ash	nfe	calculated_species_main_diet	PC1	PC2	PC1_scaled	PC2_scaled
Sus scrofa domesticus	Pig	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	-8.90399072433946	5.42847964048577	-0.351041075950703	0.774982124982971
Sus scrofa	Wild boar	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	-8.90399072433946	5.42847964048577	-0.351041075950703	0.774982124982971
Ovis aries	Sheep	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	-7.92513344217328	-6.52301242082621	-0.312449491101619	-0.931240119145005
Equus caballus	Horse	Perissodactyla	Equus caballus	Grazer	4.1	10.65744	2.38335	29.64453	8.93891	48.37576	Herbivore	-9.90466404261961	-7.9098226059155	-0.390492761065781	-1.12922430170931
Muntiacus muntjak	Muntjak	Artiodactyla	Muntiacus muntjak	Browser-Frugivore	5	13.31479	5.6142	14.59954	8.08755	58.38392	Frugivore	-9.43749640128809	10.5477378969678	-0.372074611660697	1.50581910046992
Giraffa camelopardalis	Reticulated giraffe	Artiodactyla	Giraffa camelopardalis	Browser	5	11.3339	3.13823	25.58103	5.57323	54.37362	Frugivore	-11.9615020817916	-1.2670773051243	-0.471583887582068	-0.180890843749218
Cuniculus paca	Paca	Rodentia	Cuniculus paca	Frugivore-Browser	3.9	10.60653	3.31641	15.61663	10.2546	60.2058	Frugivore	-13.0244926523518	10.2166655502041	-0.513492439058306	1.45855445773191
Otaria byronia	South American sea lion	Carnivora	Otaria flavescens	Piscivore-Squid-Eater	99.99995	70.5	11.3	1.5	12.6	4	Animalivore	69.9615082872931	-0.89960583891688	2.75824222021832	-0.128429779765832
Tapirus indicus	Malayan tapir	Perissodactyla	Tapirus indicus	Browser-Grazer	4.7	10.12341	3.73429	21.99719	7.64161	56.50351	Frugivore	-12.9667540330975	2.8454567263308	-0.511216085942671	0.406223887047976
Arctocephalus australis	South American fur seals	Carnivora	Arctocephalus australis	Piscivore	5.2	76.94024	10.39008	0.35286	11.56014	0.75659	Animalivore	76.7827881830309	-1.12115824451169	3.02717213132156	-0.160059106106566
Macropus giganteus	Eastern grey kangaroo	Diprotodontia	Macropus giganteus	Grazer	3.9	11.16861	2.36059	29.12389	9.55251	47.79439	Herbivore	-9.00959695450783	-7.71866292852878	-0.355204616301667	-1.1019339105126
Loxodonta africana	African elephant	Proboscidea	Loxodonta africana	Grazer	3.9	8.9086	2.43334	33.74356	7.61827	47.29621	Herbivore	-11.7206789612887	-12.1145534018771	-0.462089402473944	-1.72950125272391
Hippopotamus amphibius	Hippo	Artiodactyla	Hippopotamus amphibius	Grazer	5.3	19.16876	3.96691	28.72915	7.32875	40.80641	Herbivore	1.30687521750788	-10.1822813088109	0.0515237376913719	-1.45364568506893
Ovis ammon	Argali	Artiodactyla	Ovis ammon	Grazer	4.8	13.75303	3.0944	26.95259	9.08458	47.1154	Herbivore	-6.02457291540017	-5.9407267561816	-0.237519627304242	-0.848111690631084
Camelus dromedarius	Dromedary camel	Artiodactyla	Camelus dromedarius	Browser-Grazer	4.2	11.69327	3.23701	22.53052	10.03013	52.5091	Herbivore	-9.50833016430624	0.44743529916606	-0.374867242645314	0.0638768830141684
Meles meles	European badger	Carnivora	Meles meles	Vermivore-Carnivore	4.6	58.70442	13.25879	2.44115	11.42515	14.17059	Animalivore	55.1280475328621	2.68038716537059	2.17343096147857	0.382658180331703
Dugong dugon	Dugong	Sirenia	Dugong dugon	Browser-Grazer	4.9	15.66575	2.67402	16.13874	10.42347	55.09804	Frugivore	-6.45581182708185	7.5233948296174	-0.254521281532692	1.07405699169594
Orcinus orca	Orca	Artiodactyla	Orcinus orca	Carnivore	4.7	58.10424	20.27461	1.75896	10.25319	9.6087	Animalivore	58.5576787500702	1.4276056935409	2.30864465047219	0.203808242323832
