odds_ratio	p.value	Species1	Species2	label	Order1	Order2	Common1	Common2
27.0376696476467	0.95899946673676	Capreolus capreolus	Camelus dromedarius	NA	Artiodactyla	Artiodactyla	Roe deer	Dromedary camel
10.9407257775371	0.999725833930335	Cephalophus silvicultor	Camelus dromedarius	NA	Artiodactyla	Artiodactyla	Yellow-backed duiker	Dromedary camel
3.92636958761266	0.99999999961258	Ceratotherium simum	Camelus dromedarius	NA	Perissodactyla	Artiodactyla	White rhino	Dromedary camel
16.671936174889	0.996602454993166	Cuniculus paca	Camelus dromedarius	NA	Rodentia	Artiodactyla	Paca	Dromedary camel
33.7556935779059	0.953413672857698	Diceros bicornis	Camelus dromedarius	NA	Perissodactyla	Artiodactyla	Black rhino	Dromedary camel
0.244915144428071	1	Dugong dugon	Camelus dromedarius	NA	Sir.	Artiodactyla	Dugong	Dromedary camel
7.76471481831524	0.999988208212413	Equus burchellii	Camelus dromedarius	NA	Perissodactyla	Artiodactyla	Plains zebra	Dromedary camel
1.71718301937061	1	Equus caballus	Camelus dromedarius	NA	Perissodactyla	Artiodactyla	Horse	Dromedary camel
4.83238452979678	0.999999999938489	Giraffa camelopardalis	Camelus dromedarius	NA	Artiodactyla	Artiodactyla	Reticulated giraffe	Dromedary camel
2.75202993054946	0.99999999999998	Gorilla beringei	Camelus dromedarius	NA	Primates	Artiodactyla	Eastern gorilla	Dromedary camel
0.503422289338106	1	Hippopotamus amphibius	Camelus dromedarius	NA	Artiodactyla	Artiodactyla	Hippo	Dromedary camel
29.8537407353563	0.949449298028731	Loxodonta africana	Camelus dromedarius	NA	Prob.	Artiodactyla	African elephant	Dromedary camel
11.8755165741084	0.999744786645741	Macropus giganteus	Camelus dromedarius	NA	Dipr.	Artiodactyla	Eastern grey kangaroo	Dromedary camel
8.02673452739456	0.999998749117031	Marmota marmota	Camelus dromedarius	NA	Rodentia	Artiodactyla	Marmot	Dromedary camel
9.575099987637	0.999904450809029	Meles meles	Camelus dromedarius	NA	Carnivora	Artiodactyla	European badger	Dromedary camel
14.3726625289558	0.999656958211385	Muntiacus muntjak	Camelus dromedarius	NA	Artiodactyla	Artiodactyla	Muntjak	Dromedary camel
4.63810081059125	0.999999998895919	Okapia johnstoni	Camelus dromedarius	NA	Artiodactyla	Artiodactyla	Okapi	Dromedary camel
