DNA_input_ug,species,Pigmented_extract,order,diet_category,PC1_scaled,PC2_scaled,pred.success,total,success,real.success
0,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.452750324440012,8,2,25
0.05,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.464919369386835,7,3,42.9
0.1,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.456901224979801,2,0,0
0.15,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.433191909603819,2,0,0
0.2,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.419689958879647,NA,NA,NA
0.25,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.381415178709442,NA,NA,NA
0.3,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.33200782680209,1,0,0
0.35,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.309535895441269,1,0,0
0.4,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.312770623675998,NA,NA,NA
0.45,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.316235430474138,NA,NA,NA
0.5,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.32703789960994,NA,NA,NA
0.55,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.332270115953268,NA,NA,NA
0.6,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.340228669745155,NA,NA,NA
0.65,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.343733960750446,NA,NA,NA
0.7,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.355464795669686,NA,NA,NA
0.75,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.36021788208944,NA,NA,NA
0.8,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.370894179109823,NA,NA,NA
0.85,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.377762865978509,NA,NA,NA
0.9,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.384707310422954,NA,NA,NA
