SampleID,Env,ProjectAccession,ENA_organism
ERR1474568,OralH,PRJEB14383,metagenome
ERR1474580,OralH,PRJEB14383,metagenome
ERR1474585,OralH,PRJEB14383,metagenome
ERR1474586,OralH,PRJEB14383,metagenome
ERR3307045,OralH,PRJEB31185,metagenome
ERR3307046,OralH,PRJEB31185,metagenome
ERR3307047,OralH,PRJEB31185,metagenome
ERR3307048,OralH,PRJEB31185,metagenome
ERR3307049,OralH,PRJEB31185,metagenome
ERR3307050,OralH,PRJEB31185,metagenome
ERR3307051,OralH,PRJEB31185,metagenome
ERR3307052,OralH,PRJEB31185,metagenome
ERR3307053,OralH,PRJEB31185,metagenome
ERR3307054,OralH,PRJEB31185,metagenome
ERR3579819,OralH,PRJEB34569,Homo sapiens
ERR3579820,OralH,PRJEB34569,Homo sapiens
ERR3579821,OralH,PRJEB34569,Homo sapiens
ERR3579822,OralH,PRJEB34569,Homo sapiens
ERR3579823,OralH,PRJEB34569,Homo sapiens
ERR3579824,OralH,PRJEB34569,Homo sapiens
ERR3579825,OralH,PRJEB34569,Homo sapiens
ERR3579826,OralH,PRJEB34569,Homo sapiens
SRR11176627,OralH,PRJNA608555,human oral metagenome
SRR11176628,OralH,PRJNA608555,human oral metagenome
SRR11176629,OralH,PRJNA608555,human oral metagenome
SRR11176630,OralH,PRJNA608555,human oral metagenome
SRR11176631,OralH,PRJNA608555,human oral metagenome
SRR11176632,OralH,PRJNA608555,human oral metagenome
SRR11176633,OralH,PRJNA608555,human oral metagenome
SRR11176634,OralH,PRJNA608555,human oral metagenome
SRR11176635,OralH,PRJNA608555,human oral metagenome
SRR11176636,OralH,PRJNA608555,human oral metagenome
SRR11176638,OralH,PRJNA608555,human oral metagenome
SRR11176639,OralH,PRJNA608555,human oral metagenome
SRR11176640,OralH,PRJNA608555,human oral metagenome
SRR11176641,OralH,PRJNA608555,human oral metagenome
SRR11176642,OralH,PRJNA608555,human oral metagenome
SRR12136712,OralH,PRJNA643812,human oral metagenome
SRR12136713,OralH,PRJNA643812,human oral metagenome
SRR12462930,OralH,PRJNA657275,human oral metagenome
SRR12462931,OralH,PRJNA657275,human oral metagenome
SRR12462932,OralH,PRJNA657275,human oral metagenome
