Study_species,Tax.id,Accession,Alternate_species
Alouatta palliata,30589,GCA_004027835.1,Alouatta palliata
Camelus dromedarius,9838,GCF_036321535.1,Camelus dromedarius
Capreolus capreolus,9858,GCA_951849835.1,Capreolus capreolus
Cephalophus silvicultor,50347,GCA_006410635.1,Cephalophus harveyi
Ceratotherium simum,9807,GCF_000283155.1,Ceratotherium simum
Cuniculus paca,108852,GCA_004365215.1,Cuniculus paca
Diceros bicornis,9805,GCF_020826845.1,Diceros bicornis minor
Dugong dugon,29137,GCA_030035585.1,Dugong dugon
Equus burchellii,89252,GCA_026770645.1,Equus quagga burchellii
Equus caballus,9796,GCF_002863925.1,Equus caballus
Giraffa camelopardalis,9894,GCA_017591445.1,Giraffa camelopardalis
Gorilla beringei,499232,GCA_963575185.1,Gorilla beringei
Gorilla gorilla,9593,GCF_029281585.2,Gorilla gorilla
Hippopotamus amphibius,9833,GCF_030028045.1,Hippopotamus amphibius
Loxodonta africana,9785,GCF_000001905.1,Loxodonta africana
Macropus giganteus,9317,GCA_028627215.1,Macropus giganteus
Marmota marmota,9993,GCF_001458135.2,Marmota marmota
Meles meles,9662,GCF_922984935.1,Meles meles
Muntiacus muntjak,9888,GCA_008782695.1,Muntiacus muntjak
Okapia johnstoni,86973,GCA_024291935.2,Okapia johnstoni
Orcinus orca,9733,GCF_937001465.1,Orcinus orca
Otaria byronia,161932,GCF_009762305.2,Zalophus californianus
Ovis ammon,30527,GCA_028583565.1,Ovis ammon
Ovis aries,9940,GCF_016772045,Ovis aries
Pan troglodytes,9598,GCF_028858775.2,Pan troglodytes
Papio anubis,9555,GCF_008728515.1,Papio anubis
Piliocolobus foai,591938,GCA_963574265.1,Piliocolobus badius
Pongo pygmaeus,9600,GCF_028885625.2,Pongo pygmaeus
Rangifer tarandus,9870,GCA_949782905.1,Rangifer tarandus
Rupicapra rupicapra,34869,GCA_963981305.1,Rupicapra rupicapra
Sus scrofa domesticus,9825,GCA_017957985.1,Sus scrofa domesticus
Sus scrofa,9823,GCF_000003025.6,Sus scrofa
Syncerus caffer,9970,GCA_902825105.1,Syncerus caffer
Tapirus indicus,9802,GCA_031878705.1,Tapirus indicus
Ursus arctos,9644,GCF_023065955.2,Ursus arctos
