Ext ID,Museum,Sampling date,Catalogue/accession,Species,Collection notes,Sex,Age,Year,Country,Region,Locality,Oral health,Appearance,Sampling comments,Ext Date,Sample weight (g),Pigmented_extract,Qubit concentration (ng/ul),LP date,Extract vol used,LP copies ,Ind date,LP vol used,Ind cycles,Ind copies,Pool,Pooled volume (ul)
DM_002,Adametz collection,20230217,A 284,Sus domesticus,Sus s. f. domestica; Schweinekreunzungen ,male,,<1940,,,,,orange and brown,,20230627,0.016,FALSE,20.8,20230629,20,1.81E+08,20230906,12,11,4.57E+10,Pool A,3
DM_003,Adametz collection,20230217,E 1042 (large tusks),Sus scrofa,Sardinischen Wildschwein aus Schönbrunn 32 ,male?,,<1940,,,,,huge white plaques,large chunks fell off eaisly. Too much?,20230627,0.019,FALSE,13.2,20230629,20,4.53E+08,20230720,12,10,1.10E+11,Pool A,2
DM_004,Adametz collection,20230217,E 1042 (no tusks),Sus scrofa,Sardinischen Wildschwein aus Schönbrunn 32 ,female?,,<1940,,,,,,,20230627,0.029,FALSE,29.4,20230629,20,4.47E+08,20230720,12,10,7.90E+10,Pool A,3
DM_005,Adametz collection,20230217,E 757,Sus domesticus,Englisches Zuchtschwein ,,,<1940,,,,,,,20230627,0.021,FALSE,30.4,20230629,20,4.82E+08,20230906,12,11,3.64E+10,Pool B,2
DM_006,Adametz collection,20230217,209 (large tusks),Sus scrofa,Europe wildschwein  ,male,,<1940,,,,,large white plaques,large chunks fell off easily,20230627,0.016,FALSE,16.8,20230629,20,1.45E+08,20230720,12,10,3.52E+10,Pool B,2
DM_007,Adametz collection,20230217,E 209 (no tusks),Sus scrofa, ,female?,,<1940,,,,,,maybe not enough,20230627,0.012,FALSE,1.37,20230629,20,7.59E+07,20230906,12,11,1.80E+10,Pool B,3
DM_008,Adametz collection,20230217,E 754,Sus domesticus,"Galizien, Landschw. ",,,<1940,Poland or Ukraine?,Galicia,,,white,,20230627,0.019,FALSE,8.22,20230629,20,7.27E+07,20230906,12,11,1.48E+10,Pool B,3
DM_009,Adametz collection,20230217,1064,Ovis aries,Soay Sheep; Hebriden ,,,<1940,,,,,large plaques,,20230627,0.024,FALSE,15.4,20230629,20,7.61E+07,20230720,12,10,4.87E+10,Pool A,3
DM_010,Adametz collection,20230217,E 209 (male),Sus scrofa,Wildschwein E 209  ,male,,<1940,,,,,large plaques,,20230627,0.013,FALSE,7.25,20230629,20,2.94E+08,20230720,12,10,2.91E+10,Pool B,3
DM_011,Adametz collection,20230217,E 610,Sus scrofa,Bosn. Wildsch. Eber 1911 ,,,1911,,,,,,,20230627,0.02,FALSE,12,20230629,20,5.52E+07,20230720,12,10,4.21E+09,Pool C,4
DM_012,Adametz collection,20230217,15 E761 73,Sus scrofa,C ,female,,<1940,,,,,,,20230627,0.008,FALSE,2.08,20230629,20,1.91E+08,20230906,12,11,6.32E+10,Pool A,3
DM_013,Adametz collection,20230217,E 374,Sus domesticus,Polnisches Landschwein ,,,<1940,Poland?,,,,,,20230627,0.015,FALSE,14.2,20230629,20,1.12E+08,20230906,12,11,2.35E+10,Pool B,3
DM_014,Adametz collection,20230217,E 522,Sus domesticus,"Siska-Schwein; kroatische Landrasse (augestorben) Adametz-Smgl., Inv.Nr. E 522, weibl. juv. ",female,,<1940,,,,,,,20230816,0.006,FALSE,5.94,20230824,20,1.04E+08,20230920_7-7,12,11,3.84E+10,Pool B,2
DM_015,Adametz collection,20230217,E 855,Sus domesticus,"Sumadija-Schwein; serbische Landrasse (ausgestorben); Adametz-Smlg., Inv. Nr. E 855, maennl. Ad. ",male?,adult?,<1940,Serbia?,,,,white-beige,,20230816,0.021,FALSE,26.3,20230824,20,1.72E+08,20230920_7-7,12,11,2.71E+10,Pool B,3
DM_016,Adametz collection,20230217,A 491,Sus domesticus,Haengebauchschwein ,male,,<1940,,,,,white-beige,,20230809,0.016,FALSE,7.27,20230815,20,5.98E+08,20230907,12,11,7.44E+10,Pool A,3
DM_017,Adametz collection,20230217,E 507,Sus domesticus,Syrm; Mangaliza; blond ,female,,<1940,,,,,white-beige,,20230809,0.012,FALSE,7.33,20230815,20,3.46E+08,20230907,12,11,1.73E+08,Pool D,5
DM_018,Adametz collection,20230217,E 514,Sus domesticus,Syrm; Mangaliza; blond ,female,,<1940,,,,,white-beige,,20230809,0.033,FALSE,24.7,20230815,20,2.44E+04,20230920_remainder,12,14,5.93E+06,,
DM_019,Adametz collection,20230221,E 753,Sus domesticus,Galz. Landschw. ,,,<1940,,,,,white on some teeth darker on others,,20230828,0.011,FALSE,6.36,20230830,20,1.45E+08,20230920_7-7,12,11,3.54E+10,Pool B,2
DM_020,Adametz collection,20230221,E 517,Sus domesticus,Bagun ,,,<1940,,,,,white on some teeth darker on others,,20230809,0.01,FALSE,15.6,20230815,20,1.50E+08,20230907,12,11,3.17E+10,Pool B,3
DM_021,Adametz collection,20230221,E 758,Sus domesticus, ,,,<1940,,,,,orange-brown,,20230828,0.011,FALSE,0.58,20230830,20,6.82E+07,20230920_7-7,12,11,1.69E+10,Pool B,3
DM_022,Adametz collection,20230221,E 216,Sus domesticus,Yorkshire ,female,,<1940,UK?,Yorkshire?,,,white on some teeth darker on others,,20230809,0.015,FALSE,19.3,20230815,20,3.41E+08,20230907,12,11,3.87E+10,Pool B,2
DM_026,Adametz collection,20230221,E 70,Equus caballus,Staten Fohlen; Pinzgauer R. ,,,<1940,,,,,,,20230808,0.025,FALSE,20.9,20230811,20,1.56E+09,20230904,12,11,1.02E+11,Pool A,2
DM_027,Adametz collection,20230221,E 946,Equus caballus,Pinzgauer ,,,<1940,,,,,,maybe insufficient?,20230808,0.015,FALSE,28.3,20230811,20,1.07E+09,20230904,12,11,3.78E+10,Pool B,2
DM_028,Adametz collection,20230221,E 947,Equus caballus,Pinzgauer; O.3; No. 5 ,,,<1940,,,,,,,20230808,0.014,FALSE,3.81,20230811,20,2.48E+09,20230904,12,11,8.98E+10,Pool A,3
DM_029,Adametz collection,20230221,E 91,Equus caballus,Anglonormanner; Conezie (?) ,female,,<1940,,,,,,,20230808,0.014,FALSE,1.36,20230811,20,2.97E+08,20230904,12,11,1.33E+11,Pool A,2
EB_1_1,,,,Extraction blank, ,,,,,,,,,,20230605,,FALSE,0.118,,,,,,,,,
EB_1_2,,,,Extraction blank, ,,,,,,,,,,20230605,,FALSE,0.051,,,,,,,,,
EB_10_1,,,,Extraction blank,,,,,,,,,,,20230703,,FALSE,0.095,,,,,,,,,
EB_10_2,,,,Extraction blank,,,,,,,,,,,20230703,,FALSE,0.152,20230706,20,2.52E+04,20230818,18,11,8.40E+09,Pool B,1
EB_11_1,,,,Extraction blank,,,,,,,,,,,20230707,,FALSE,0.065,20230712,20,1.59E+04,20230818,18,11,5.41E+08,Pool B,1
