Species,Common.name,habitat.general,order
Acrocodia indica,Malayan tapir,Terrestrial,Perissodactyla
Arctocephalus australis,South American fur seal,Aquatic,Carnivora
Camelus dromedarius,Arabian camel,Terrestrial,Artiodactyla
Capreolus capreolus,Roe deer,Terrestrial,Artiodactyla
Cephalophus silvicultor,Yellow-backed duiker,Terrestrial,Artiodactyla
Ceratotherium simum,White rhino,Terrestrial,Perissodactyla
Cuniculus paca,Lowland paca,Terrestrial,Rodentia
Diceros bicornis,Black rhino,Terrestrial,Perissodactyla
Dugong dugon,Dugong,Aquatic,Sirenia
Equus caballus,Domestic horse,Terrestrial,Perissodactyla
Equus quagga,Plains zebra,Terrestrial,Perissodactyla
Giraffa camelopardalis,Giraffe,Terrestrial,Artiodactyla
Gorilla beringei,Eastern gorilla,Terrestrial,Primates
Hippopotamus amphibius,Hippopotamus,Terrestrial,Artiodactyla
Loxodonta africana,African elephant,Terrestrial,Proboscidea
Macropus giganteus,Eastern grey kangaroo,Terrestrial,Diprotodontia
Marmota marmota,Alpine marmot,Terrestrial,Rodentia
Meles meles,European badger,Terrestrial,Carnivora
Muntiacus muntjak,Indian muntjac,Terrestrial,Artiodactyla
Okapia johnstoni,Okapi,Terrestrial,Artiodactyla
Orcinus orca,Orca,Aquatic,Artiodactyla
Otaria flavescens,South American sea lion,Aquatic,Carnivora
Ovibos moschatus,Muskox,Terrestrial,Artiodactyla
Ovis ammon,Argali,Terrestrial,Artiodactyla
Ovis aries,Domestic sheep,Terrestrial,Artiodactyla
Papio anubis,Olive baboon,Terrestrial,Primates
Piliocolobus foai,Central African red colobus,Terrestrial,Primates
Pongo pygmaeus,Bornean orangutan,Terrestrial,Primates
Rupicapra rupicapra,Chamois,Terrestrial,Artiodactyla
Sus domesticus,Domestic pig,Terrestrial,Artiodactyla
Sus scrofa,European wild pig,Terrestrial,Artiodactyla
Syncerus caffer,African buffalo,Terrestrial,Artiodactyla
