Ext.ID	Museum	Sampling.date	Catalogue.accession	Species	Collection.notes	Sex	Age	Year	Country	Region	Locality	Oral.health	Appearance	Sampling.comments	Ext.Date	Sample.weight.g.	Pigmented_extract	Qubit.concentration.ng.ul.	LP.date	Extract.vol.used	LP.copies	Ind.date	LP.vol.used	Ind.cycles	Ind.copies	Pool	Pooled.volume.ul.	Common.name	habitat.general	order	Species_Lintulaakso_et_al	diet_cluster_name	diet_quality	cp	ee	cf	ash	nfe	calculated_species_main_diet	merged_count	unmapped_count	mapped_count	host_count	human_count	phix_count	submitted_F_avlength	submitted_R_avlength	merged_avlength	unmapped_avlength	mapped_avlength	perc_unique	p_OralH	p_OralMM	p_OralTM	p_Rumen	p_Sediment.Soil	p_Skin	p_Unknown	submitted_count	is.blank	failed.repeated	combined.sample	Sample.weight.mg	Age_approximated	DNA_output_ug	DNA_input_ug	bc_output_copies	bc_input_copies	ind_output_copies	efficiency	exp_ind_copies	PC1	PC2	PC1_scaled	PC2_scaled	diet_category
DM_002	Adametz collection	20230217	A 284	Sus domesticus	Sus s. f. domestica; Schweinekreunzungen 	male	0.83	<1940					orange and brown		20230627	0.017	FALSE	20.8	20230629	20	1.81e+08	20230906	12	11	4.57e+10	Pool A	3	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	7992890	7779418	213472	205595	7877	0	69.663242575386	67.4827640178864	61.0074446164028	61.244816257463	52.8320763378804	93.9253448575799	48.647	0.4723	11.4578	1.4224	4.3493	4.2697	29.3816	8005433	FALSE	FALSE	FALSE	17	TRUE	0.936	0.416	7.24e+09	2.172e+09	9.14e+11	0.73202161200561	186808000214.51	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_003	Adametz collection	20230217	E 1042 (large tusks)	Sus scrofa	Sardinischen Wildschwein aus Schönbrunn 32 	male?	0.83	<1940					huge white plaques	large chunks fell off eaisly. Too much?	20230627	0.02	FALSE	13.2	20230629	20	4.53e+08	20230720	12	10	1.1e+11	Pool A	2	European wild pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	3718818	7320896	116740	54256	4114	0	69.1241781971725	66.6341972026008	59.8719402240174	60.5292849399855	51.0453657700874	93.7459568558653	44.006	0.2088	7.0705	3.1824	3.3737	0.6058	41.5528	3723673	FALSE	FALSE	FALSE	20	TRUE	0.594	0.264	1.812e+10	5.436e+09	2.2e+12	0.822696347416754	311851775609.56	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_004	Adametz collection	20230217	E 1042 (no tusks)	Sus scrofa	Sardinischen Wildschwein aus Schönbrunn 32 	female?	0.83	<1940							20230627	0.03	FALSE	29.4	20230629	20	4.47e+08	20230720	12	10	7.9e+10	Pool A	3	European wild pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	4436983	8815798	58168	24308	4776	0	68.5335315011925	65.7462505817044	58.6554825655181	58.761487729188	42.6946774859029	93.9409673292577	38.6742	0.3326	6.3131	2.4764	3.1906	1.6664	47.3467	4441689	FALSE	FALSE	FALSE	30	TRUE	1.323	0.588	1.788e+10	5.364e+09	1.58e+12	0.76569965345235	307721288515.393	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_005	Adametz collection	20230217	E 757	Sus domesticus	Englisches Zuchtschwein 		0.83	<1940							20230627	0.022	FALSE	30.4	20230629	20	4.82e+08	20230906	12	11	3.64e+10	Pool B	2	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	8254833	8142226	112607	88331	24276	0	68.1053396273016	66.6009413174217	60.5863491120898	60.6520698393781	55.8342998215031	91.3758852918519	54.5178	0.5131	5.2317	5.039	4.8261	0.9157	28.9565	8279885	FALSE	FALSE	FALSE	22	TRUE	1.368	0.608	1.928e+10	5.784e+09	7.28e+11	0.552030606301762	497466608306.044	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_006	Adametz collection	20230217	209 (large tusks)	Sus scrofa	Europe wildschwein  	male	0.83	<1940					large white plaques	large chunks fell off easily	20230627	0.017	FALSE	16.8	20230629	20	1.45e+08	20230720	12	10	3.52e+10	Pool B	2	European wild pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	2814805	5582492	47118	16172	7387	0	64.5707906561654	59.8020365859022	52.964203559394	53.1257750123063	33.821342162231	96.6931497579212	35.2807	0.5608	9.5736	1.8206	5.0574	4.2362	43.4707	2819228	FALSE	FALSE	FALSE	17	TRUE	0.756	0.336	5.8e+09	1.74e+09	7.04e+11	0.8226460598953	99820104775.6869	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_007	Adametz collection	20230217	E 209 (no tusks)	Sus scrofa	 	female?	0.83	<1940						maybe not enough	20230627	0.013	FALSE	1.37	20230629	20	75900000	20230906	12	11	1.8e+10	Pool B	3	European wild pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	4914057	9675096	153018	59759	16750	0	66.966686301433	62.2786434291364	55.5060684074279	56.3037377613618	38.4102915996811	95.94589695454	24.8037	0.5475	9.8006	1.6306	4.083	4.7831	54.3515	4943612	FALSE	FALSE	FALSE	13	TRUE	0.06165	0.0274	3.036e+09	910800000	3.6e+11	0.722185596231287	78335509482.2173	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_008	Adametz collection	20230217	E 754	Sus domesticus	Galizien, Landschw. 		0.83	<1940	Poland or Ukraine?	Galicia			white		20230627	0.02	FALSE	8.22	20230629	20	72700000	20230906	12	11	1.48e+10	Pool B	3	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	3451272	3430714	20558	16386	4172	0	66.0722137975104	62.9978269156682	56.7169736259559	56.8016561567067	42.5851250121607	96.2622925886883	40.804	0.8813	14.5113	1.7179	8.648	8.2013	25.2362	3460059	FALSE	FALSE	FALSE	20	TRUE	0.3699	0.1644	2.908e+09	872400000	2.96e+11	0.698448444231705	75032826605.4967	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_009	Adametz collection	20230217	1064	Ovis aries	Soay Sheep; Hebriden 		0.83	<1940					large plaques		20230627	0.025	FALSE	15.4	20230629	20	76100000	20230720	12	10	4.87e+10	Pool A	3	Domestic sheep	Terrestrial	Artiodactyla	Ovis aries	Grazer-Browser	2.9	12.19316	2.3744	27.85431	9.73788	47.84024	Herbivore	1541026	1498059	42967	40574	2393	0	64.6757655991888	61.4331201230249	54.6445880861192	54.550249356	57.9337165731841	93.3487798183506	38.5607	0.9565	14.8941	4.3954	15.2858	6.1125	19.795	1542452	FALSE	FALSE	FALSE	25	TRUE	0.693	0.308	3.044e+09	913200000	9.74e+11	1.00816459239989	52388344644.3433	-7.92513344217327	-6.52301242082621	-0.312449491101619	-0.931240119145005	Herbivore
DM_010	Adametz collection	20230217	E 209 (male)	Sus scrofa	Wildschwein E 209  	male	0.83	<1940					large plaques		20230627	0.014	FALSE	7.25	20230629	20	2.94e+08	20230720	12	10	2.91e+10	Pool B	3	European wild pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	12427525	24637862	217188	77511	31083	0	69.749803949015	66.2398074508263	60.380474953782	60.5963215477057	35.8947639832772	95.6768396136856	28.0825	0.4056	5.8517	1.363	3.2287	2.0264	59.0421	12487823	FALSE	FALSE	FALSE	14	TRUE	0.32625	0.145	1.176e+10	3.528e+09	5.82e+11	0.666247231441127	202393867614.151	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_011	Adametz collection	20230217	E 610	Sus scrofa	Bosn. Wildsch. Eber 1911 		1.12	1911							20230627	0.021	FALSE	12	20230629	20	55200000	20230720	12	10	4.21e+09	Pool C	4	European wild pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	2256899	4439740	74058	33026	4003	0	60.9073033011332	55.0534419423515	47.8768292245244	47.9923756796569	40.9498501174755	92.1177157072177	38.9458	0.4861	7.3612	1.3891	4.4292	4.2507	43.1379	2258376	FALSE	FALSE	FALSE	21	FALSE	0.54	0.24	2.208e+09	662400000	8.42e+10	0.623376208226221	38000481266.3305	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
